职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期,技术栈
.NET Core,深圳罗湖区百汇大厦南座23层23G,大专,5-10年,,10-15K,计算机软件,,20-99人,不需要融资,招聘中,全职,"岗位职责1. 负责公司内部系统的维护与开发工作2. 按时按质的完成编程开发技术工作任职要求1、全日制专科/本科学历应届生，计算机相关专业2、3年以上.NET开发经验，精通.net语言、MVC3、掌握JavaScript、jQuery、Html、CSS、Ajax、React等Web开发技术4、熟悉SQL Server数据库，熟练使用SQL语言，掌握存储过程5、有MVC.net 及多层结构的开发经验，具有良好的编程风格6、熟练掌握 bootstrap,layUi,EasyUI等前端框架",领先的IPO金融软件服务商,https://www.zhipin.com/gongsi/8c90bfa2973a71911HV829W9FVs~.html,https://www.zhipin.com/job_detail/23d3b425044d9c951HZ43dS6ElJW.html,2024-05-15 00:38:28,"[['.NET', 'MVC', 'JavaScript', 'jQuery', 'HTML', 'CSS', 'Ajax', 'React', 'SQL Server', 'SQL', '存储过程', 'MVC.net', '多层结构', 'bootstrap', 'layUi', 'EasyUI']]"
.NET开发工程师,深圳南山区金龙创业园63栋806,大专,1-3年,,11-20K·16薪,广告/公关/会展,,0-20人,不需要融资,招聘中,全职,"任职要求：①两年的工作经验，优秀的可待遇面议②精通C#语言,熟悉.NET开发技术，熟练掌握B/S架构开发③熟练掌握SqlServer ，熟练使用数据库基本的视图、存储过程、触发器、索引等各种数据库功能；④熟练Asp.NetMVC、Web Api，深入理解WEB开发，熟悉HTTP等网络协议；⑤具有Asp.Net core 实际开发经验⑥有前后端分离项目开发经验者优先.",壹诺威视，有15年以上经验的AI ，显示屏和物联网运营骨干团队，致力于以新零售模式，将AI显示屏应用于商业，尤其是美业店铺，为实体店铺赋能；线上AI测肤方案，让女性更客观了解记录自己的肌肤状态，科学护肤更有效。壹诺威视，让视界更精彩。,https://www.zhipin.com/gongsi/b7d48b2f50775b233nB-3N-4GA~~.html,https://www.zhipin.com/job_detail/9537d2c9950ff74c1nR63NS7GFZU.html,2024-05-15 01:18:46,"[['C#', '.NET', 'B/S架构', 'SqlServer', '视图', '存储过程', '触发器', '索引', 'Asp.NetMVC', 'Web Api', 'HTTP', 'Asp.Net core', '前后端分离']]"
Hadoop,北京海淀区锦秋国际,本科,3-5年,,25-40K,财务/审计/税务,,20-99人,,招聘中,全职,设计、开发、优化大数据相关产品 - 构建批量分析、交互式分析、实时分析以及数据湖解决方案 - Hadoop生态产品的稳定性、性能、易用性 私有云、公有云客户支持 职责要求： - 211本科及以上学历，计算机及相关专业，2年以上工作经验 - 熟悉Java开发，熟悉网络编程及多线程开发，熟悉常见数据结构和算法 - 熟悉Linux平台，至少一种脚本语言 - 有Hadoop生态系统相关经验 - 有大数据平台开发经验优先 说明：本岗位不是做数据处理，而是平台开发,,https://www.zhipin.com/gongsi/238d14e781dfe7501HF_2d20FA~~.html,https://www.zhipin.com/job_detail/35d91bca16664e0b1HB-2tu4GFQ~.html,2024-05-15 02:18:54,"[['Java', '网络编程', '多线程开发', '数据结构', '算法', 'Linux', '脚本语言', 'Hadoop生态系统', '大数据平台开发']]"
.NET开发工程师（中级）,广州越秀区广州浙江大厦9楼,大专,3-5年,,8-13K,计算机软件,,100-499人,未融资,招聘中,全职,岗位职责简述：1、 参与公司新产品的研发和设计；2、 参与公司现有产品的维护和升级；3、 配合领导共同完成安排的工作。岗位要求：1、专科以上学历，计算机相关专业，2年以上实际开发经验2、熟悉 .NET Core、SQL Server、Redis、RabbitMq，3、熟悉常见设计模式，有良好的代码编写习惯，4、能够独立思考和解决技术问题，喜欢钻研技术，能在开发过程中保持敏锐的思考，寻求最优解决方案，5、对技术充满热情、有团队合作精神6、有电商交易，营销活动开发，ERP进销存，WMS仓储开发经验的优先，熟悉微盟有赞等私域管理的优先福利待遇：1、上班时间：上午9：00-12：00、下午13:30-18:00（双休）。2、享受国家法定节假日和春节年假。3、健全的社保体系，提供五险及住房公积金。4、常年备有零食水果，不定期下午茶，不定期组织聚餐、团建活动5、传统节日派发礼品6、加班有加班费，加班包餐7、健全的晋升和培训机制，团队核心骨干有年底分红。上班地址：广州越秀区浙江大厦,"公司简介：广州鸿亿成立于2007年，由广州市鸿亿防伪产品有限公司、广州市猫态信息科技有限责任公司、广州市鸿猫企云科技有限公司组成。是专业从事防伪溯源管理、社交电商（微电商）管理系统、互联网+实体新零售（店）管理系统及企业各类应用管理软件开发与营销、防伪产品印刷的***高新技术企业。公司研发的防伪网络系统综合运用现代计算机技术，网络通讯技术、信息编码技术和高科技印刷技术，把信息产业的成果与防伪实践相结合，防伪与美观包装，防伪与营销相结合的理念，引领防伪技术达到一个新的高度。公司拥有软件著作版权20多个，是中国防伪行业协会理事会员单位、广东省名优企业打假协会会员单位，同时为广东省质量技术监督局、省标准化研究院、省WTO/TBT通报咨询研究中心技术支持单位，为商务部电子商务司《促进社交电商行业规范发展报告》重点调研单位之一。随着数字移动的普及、微商的快速崛起，公司以致力建设数据微商、助力品牌成长为己任；2013年鸿亿独立开发出全国***款《微商管理系统》,系统集防伪溯源、授权控价、订单管理、积分管理、大数据报表等多功能于一体，切实为企业解决假冒伪劣、规范市场秩序、丰富销售促销手段问题，在微商行业广泛应用。服务客户涉及日用品、图书、服装、医药、动漫、食品、化妆品、农业、汽配等众多行业。2014年，公司荣获奥飞企业年度***服务奖；2015年、2016年公司连续两年获合作企业颁发年度***创新奖；2016年，公司与微谷控股有限公司达成营销战略合作关系；2017年6月“鸿亿微商防伪系统”获中国微商十大创新奖。目前公司服务企业遍布全国，长期稳定服务客户已达2000余家，包括澜庭集、云南白药、美丽誓颜、浪莎、朵女郎、大时代、修正药业、同仁堂、Vshow 、ZuZu、花红药业、焕我生活、蜗蜗、中华灸等知名一线品牌，成为引领行业发展的领头企业。",https://www.zhipin.com/gongsi/88092c1b55df53f41nR93du5GQ~~.html,https://www.zhipin.com/job_detail/b274149deea7e7981XN53dm-F1NU.html,2024-05-14 23:17:39,"[['.NET Core', 'SQL Server', 'Redis', 'RabbitMq'], ['设计模式', '代码编写习惯', '独立思考', '技术问题解决', '技术钻研', '敏锐思考', '最优解决方案', '技术热情', '团队合作精神', '电商交易', '营销活动开发', 'ERP进销存', 'WMS仓储开发', '微盟', '有赞', '私域管理']]"
系统开发工程师,广州增城区索菲亚家居股份有限公司仙宁路2号,本科,1-3年,,9-10K,互联网,,10000人以上,已上市,招聘中,全职,岗位职责：1. 3年及以上dotnet方向开发经验；熟练使用asp.net core blazor、数据库等技术。 2. 要有较好的逻辑思维能力和业务理解能力，且有独立解决问题能力；3. 熟悉使用HTML、CSS、前端框架jQuery、JS等脚本语言；4. 熟练使用Linux ，docker容器开发经验；5. 有智能制造或定制家居工作经验者优先。任职要求：1.计算机专业，本科及以上学历，3年及以上工作经验；2.掌握 dotnet/dotnet core ，熟悉linux / 容器开发；3.具有较强的计划、组织、沟通、协调和推进能力，具有较强责任心；4.能接受1个月内出差。,索菲亚家居股份有限公司是一家主要从事定制柜、橱柜、木门、墙地一体、配套五金、家具家品、定制大宗业务的研发、生产和销售的公司。 公司于2011年在深交所成功上市，是行业内首家A股上市公司（股票代码：002572）。公司建立起覆盖全市场的完善品牌矩阵，分别是：以中高端市场为目标的“索菲亚”，以高精人群为目标的“司米”和“华鹤”，以大众市场为目标的“米兰纳”，四大品牌互相呼应，形成集团内部相互呼应的产品研发和供应体系，覆盖衣橱门全品类，实现纵深渠道全面发展。公司福利：1、工作时间：双休，8小时/天；（增城：8:00-18:00；营销中心：9:00-18:00；电商中心：9:30-18:30）2、五险一金，部分工种另购买相关商业意外保险；3、享受法定公众节假日、婚假、产假、丧假、年假等相关带薪假期；4、文体活动：年度体育文化节、年度旅游、部门活动、年会；5、每逢佳节，派发礼品；举办员工生日会，发放生日贺卡及生日礼品；6、公司增城总部环境优美，丰富的娱乐设施，空调宿舍、热水器、图书馆、电影院、健身房；公司食堂提供三餐。7、索菲亚培训学院，完善的培训体系。注：员工均可享受公司的各项福利，不同的办公区域、工种及职务享受福利会适当差别。地址：公司总部：广州市增城区新塘镇永宁街仙宁路3号索菲亚大厦营销中心：广州市天河区体育东路创展中心西座电商中心：广州市海珠区新港东路620号南丰汇乘车指引：（增城总部）：1、广州方向：（方法一）乘坐“广州流花车站→增城汽车站”公交车，在“朱村路口”下，转乘104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到；（方法二）天河体育中心乘坐到新塘的汽车，在“新塘大润发”下，到马路对面公交站乘坐104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到；（方法三）乘坐“广州流花车站→永和汽车站”的车，在“永和汽车站”下，转乘104路（荔城至新塘）公交车，在宁西工业园（下元村路路口站）下即到；（方法四）在天河客运站乘坐“广州天河客运站→增城汽车站”的汽车，在“朱村路口”下，转乘104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到。2、广州开发区（东区）方向：乘坐“566A路”公交车，途经“永和加油站”下，在“永和汽车站”转乘104路（荔城至新塘）公交车，到宁西工业园（下元村路口站）下即到。3、增城/新塘/永和方向：乘坐104路（荔城至新塘）公交车，在宁西工业园（下元村路口站）下即到。（营销中心）：地铁或公交车到体育中心站或石牌桥站下出站，到体育东路“创展中心”.关注微信公众号：索菲亚招聘平台，了解最新招聘信息！,https://www.zhipin.com/gongsi/8370935731811e531nx939s~.html,https://www.zhipin.com/job_detail/aba7d150023443601Hd83tu-FlFV.html,2024-05-14 23:18:01,"[['dotnet', 'asp.net core', 'blazor', '数据库'], ['HTML', 'CSS', 'jQuery', 'JS'], ['Linux', 'docker']]"
.NET后端开发,广州增城区东凌广场B栋631,大专,1-3年,,7-9K,计算机软件,,0-20人,,最新,全职,"2年以内经验的勿扰岗位职责：1. 根据需求文档协助完成后端模块的设计、开发任务2. 能协助处理和解决所产生的编程问题3. 具备良好的代码编写习惯以及文档编写能力任职要求：1. 熟悉.net（asp.net core6.0+，.net framework，C#）2. 熟悉SQL Server、MySQL、Redis3. 有较强的责任心，沟通能力4. 2年以上后端经验,应届毕业生勿扰；5. 熟悉winform技术的优先6. 熟悉Git代码管理工具岗位福利：1、项目提成；2、节日福利；3、五险一金。",,https://www.zhipin.com/gongsi/fd85c3fc4492fc991HRy0t-1EFQ~.html,https://www.zhipin.com/job_detail/66c9d19dc08ae4e71Hdy3Ni5GVtW.html,2024-05-14 23:18:48,"[['.net', 'asp.net core6.0+', '.net framework', 'C#', 'SQL Server', 'MySQL', 'Redis', 'winform', 'Git']]"
.NET开发工程师（初级）,深圳宝安区深圳航空公司东区运行信息楼4楼,大专,经验不限,,4-6K·13薪,计算机服务,,100-499人,B轮,招聘中,全职,"1、计算机或相关专业，统招专科及以上学历；2 、具有.ne t技术下的C/S 、B/S 架构的应用程序开发经验，熟练使用C#开发 工具，能熟练完成代码调试及编译工作；3、具有一定数据库知识,了解O ra c le 、S Q L S e rve r等至少一种数据库；4 、工作主动、积极，有团队协作精神，责任感强，并且愿意接受挑战；5、逻辑思维能力良好，具有良好的沟通表达能力，遇到问题可以提出自己的 想法和解决方案，有较强的学习欲望；6 、有良好的服务意识。工作内容：1、参与需求和设计文档的编写；2 、按照技术经理的要求完成指定功能的开发实现。",中航软信息技术(北京)有限公司于2010年09月17日成立。专注服务于民航业，为航空公司、通用航空、机场、管理局等航空企业及航空院校提供信息化咨询、开发实施、开源化推进、IT系统管理、业务流程等服务。现拥有成熟完整的航空行业产品体系，资深的业务专家和超过600人的专业技术团队，以强大的服务支持能力为基础，开源技术为核心工具，为客户提供高品质、低成本、定制化、安全可控的解决方案。※ 过硬的技术资质和产品内容超过20项航空专业产品著作权。获得国家高新、双软、CMMI3、NDC_Capable-3 of IATA、ISO9000、ISO20000、ISO27001等多项技术认证。与国内高等院校科研机构一直进行着专业技术方向的合作，保持技术创新活力。※ 专业的航空服务前身企业在民航领域深耕多年，汇聚了多位从业十余年的技术精英和业务专家，对于国内航空公司、通用航空、机场和管理局等业务运作模式和管理模式有着深度的了解，专业性在行业中拥有良好的口碑。※ 广泛、长期的合作伙伴为超过40家航空公司和航空企业提供解决方案和服务，涵盖了国内民航领域绝大多数的企业和机构。兄弟公司：国内开源技术社区平台：开源中国oschina长期合作客户：国际航空，南方航空，东方航空，海南航空，深圳航空，多彩航空，四川航空，等等。战略合作伙伴：阿里巴巴、腾讯云技术。※ 分支机构恒赢智航目前在北京、上海、广州、深圳、成都、海口、贵阳等地均设有办公地点和常驻技术团队。合理的地理布局和人员配置、灵活的管理与运营机制，为快速响应客户需求、提供高品质服务奠定了扎实基础。,https://www.zhipin.com/gongsi/9aa3c442b230678f33N72t28Eg~~.html,https://www.zhipin.com/job_detail/e95ddba04036ef3d1XB73Nq9E1BZ.html,2024-05-15 00:51:45,"[['C/S架构', 'B/S架构', 'C#', '代码调试', '编译', '数据库知识', 'Oracle', 'SQL Server']]"
ASP.NET Core 研发工程师,深圳南山区特发信息港B栋901-915,本科,5-10年,,15-30K·14薪,计算机软件,,100-499人,不需要融资,招聘中,全职,"网站后端开发（云原生应用开发）岗：岗位描述:1.参与云原生低代码平台产品研发工作，主要技术栈为 ASP.NET Core。2.负责产品的核心功能及子模块的开发。3.研究前沿的低代码平台及工具。4.团队协作推动产品迭代发布。任职要求：1.计算机技术相关专业本科及以上学历。2.熟练掌握 C# 语言，以及 ASP.NET Core 体系相关应用开发(WebAPI、RazorPages、gRPC、SignalR)。3.熟练掌握异步、多线程原理。4.熟练掌握微服务开发理念。5.熟练掌握 Git 或 SVN 版本管理工具。6.熟悉设计模式优先。加分项：1.熟悉云原生技术(Kubernetes、Istio、Dapr)加分。2.熟悉一种或多种常用前端框架(React 、Vue 、Angular)加分。3.熟悉一种或多种常用数据库(MongoDB、SQL Server、PostgreSQL)加分。关于我们：1.我们是技术研发团队，希望你是优秀技术人(能力强，或者目前能力一般但是爱学习能够快速成长)。2.我们注重代码质量，重视设计，追求最佳实践。3.我们扁平化管理，没有官僚主义职级压迫，一切为了目标而努力。4.我们不加班，高效的五天八小时工作，业余时间充电学习，工作成绩与自我能力双丰收。5.我们考核透明，规范的考核以及职级晋升制度，就像设计原则提到的:""不用找我们，我们会找你""。6.我们注重团队状态，固定日常下午茶，不定期举办大型下午茶。定期组织团建，纯玩不搞事。每年团队旅游，高标准旅游团出行，拒绝穷游。我们希望你：1.热爱技术，思维活跃，愿意不断接受新的知识，不是十年如一的码农。2.愿意接受高度的代码规范和工程设计思想，是一名创造价值的工程师，而不是售卖苦力的程序员。3.善于团队沟通协作，工作有责任心，不是一名平凡的打工人。4.是一名终身学习者，保持学习，热爱分享，技术视野开阔，对业界新技术敏感。",艾普阳科技（深圳）有限公司成立于2016年11月，是一家专门从事企业软件开发的高科技研发公司。公司从成立开始就一直致力于提供最先进的网络迁移、软件开发及移动软件开发业务。在应用互联网开发和应用企业级软件的结构性变革中，公司产品一直在技术上占据领先地位。艾普阳科技从世界领先的高新技术公司吸收出色的人才及其积累的经验，开发出了艾普阳独有的技术。艾普阳科技申请的多项知识产权，解决了互联网软件的局限性，增加了浏览器的功能，铺开了软件互联网化的必经之路。这些技术发明对企业开发与应用互联网软件的方式产生深远的影响。公司自主知识产权的旗舰软件产品通过合作伙伴和代理经销商销往全球23个国家和地区，客户遍及欧洲、美国和日本等地。,https://www.zhipin.com/gongsi/c35927aa3e733e480nJ43dq5FQ~~.html,https://www.zhipin.com/job_detail/dfbb16323588886e1Xdz2N64GFVS.html,2024-05-15 00:53:17,"[['ASP.NET Core', 'C#', 'WebAPI', 'RazorPages', 'gRPC', 'SignalR', '异步', '多线程', '微服务', 'Git', 'SVN', '设计模式'], ['Kubernetes', 'Istio', 'Dapr', 'React', 'Vue', 'Angular', 'MongoDB', 'SQL Server', 'PostgreSQL']]"
青少年科技编程/竞赛老师 全/兼职北京,北京海淀区汇博大厦汇博大厦A座,本科,1年以内,,6000-15000元/月,在线教育,,20-99人,未融资,招聘中,兼职,"工作周期：长期兼职每周工期：无要求工作时间：不限工作时段：按单安排时间结算方式：月结招聘截止时间：2025-03-13工橙院YSA 源自加拿大是一家专门从事青少年科技教育和科技竞赛的教育机构。专注提供青少年计算机科技编程，国际竞赛赛事交流等领域。 --青少年科技编程，低龄逻辑思维，以及竞赛培训授课，计算机竞赛，数学竞赛等。任职要求：1.愿意投身教育事业，有耐心和爱心与青少年学生交流；2.至少能熟练掌握以下一种语言编程：Scratch，Java, C++, Python；3.数学基础好；4. 熟悉计算机算法竞赛，有ACM， NOIP ,USACO参赛经验者优先；5. 有一定的英语阅读能力；6. 性格开朗，亲和力强，有耐心愿意与青少年学生互动，乐于辅助学生学习；7. 思想活跃，学习能力强，执行力强，高度责任感；8. 本科毕业以上，工作年限不限，欢迎大学/研究生应届优秀毕业生 优势：1.课程体系与美国加拿大同步武林广场附近2.本培训中心将给老师做相关培训3.老师将接触到前沿的科技编程内容",北京青创赢教育科技有限公司(工橙院)是一家青少年科技培训机构，现在在加拿大温哥华，多伦多，北京，上海，苏州，宁波，南京，青岛设有运营中心。工橙院专注青少年科技教育，为青少年提供国际国内科技竞赛，包括美国加拿大计算机竞赛，欧几里德数学竞赛，全国信息学奥赛。,https://www.zhipin.com/gongsi/ab7a7dba57483a3c33x42Nu-.html,https://www.zhipin.com/job_detail/9513ea0d38e8e4691Hd73NS6GVJQ.html,2024-05-15 06:04:01,"[['Scratch', 'Java', 'C++', 'Python'], ['ACM', 'NOIP', 'USACO']]"
.net程序员,深圳福田区新浩科创e站208,大专,1-3年,,5-10K,移动互联网,,20-99人,未融资,招聘中,全职,职责描述：参与服务端设计与编码工作，负责各项目的开发与维护，完善与制定各种规范必要条件：1.至少一年.NET项目经验；2.熟悉.NET架构，熟练使用C#，熟练开发B/S系统；3.掌握和了解MS SQL server，能够熟练编写T-SQL语句，对数据库原理有适当了解；4.掌握代码安全，熟悉服务器安全；5.逻辑思维能力强，具备良好的沟通协调能力，重视团队合作；优势条件：本科以上学历，计算机相关专业毕业（经验丰富或能力特别出众者不受该两项限制）。员工福利：公司不定期下午茶，生日会，每年员工旅游出行，气氛活跃。,锐诺互动成立于2006年 聚集了众多从事互联网设计领域的专业设计人才。是一家提升您品牌形象、品牌气质的专业互动设计公司。 多年来致力服务于国内外知名集团公司以及地产公司，涵盖500强、上市公司和央企国企。为近千家客户提供了创新易用的互联网解决方案，有效提升了用户体验和客户品牌价值。并引领市场不断树立新的体验标杆。我们整合商业思考，美学价值及技术实现，用设计的方法推动产品价值最大化，并与客户一起发现潜在机遇。致力于互动新媒体的全方位解决方案包括： 品牌设计、策略规划、交互创意、视觉表现、到网络营销推广的完整用户体验服务不仅为您提供卓越的设计，我们更将设计置于整个营销策略中。同类型代表客户：国企、央企企业官网 上市公司企业官网1.保利发展控股 1.万科企业2.人才安居集团 2.恒大地产集团3.碧桂园集团 3.振业集团4.龙湖集团 4.特区建发集团5.融创中国 5.光明建发集团6.万科物业 6.招商蛇口7.雪松控股 7.广交投集团8.北大资源 8.葛洲坝地产9.复兴集团 9.华远地产10.富力集团 11.金地集团更多客户,https://www.zhipin.com/gongsi/03c839f7a3dc94a11n142tS1EA~~.html,https://www.zhipin.com/job_detail/01b1dc73c4e81b100X1629m9FlA~.html,2024-05-15 00:53:39,"[['.NET', 'C#', 'B/S系统', 'MS SQL Server', 'T-SQL', '代码安全', '服务器安全']]"
金蝶K3CIoud二次开发工程师,深圳宝安区美生创谷科技创新园慧谷6楼深圳市金众诚科技有限公司,大专,3-5年,,10-15K,计算机软件,,20-99人,未融资,最新,全职,"我们需要你——1. 熟练掌握面向对象设计和开发的基本原则、设计方法和设计模式;2. 熟悉.NET框架和.NET控件的编写;3. 熟悉B/S架构的项目开发和企业级应用开发的三层架构;4. 熟悉ASP.NET、ADO.NET、WCF、Web Services编程架构;5. 熟悉基于ASP.NET的AJAX开发,熟练掌握 C# javascript编程语言;6. 熟练掌握SQL语句、存储过程、触发器精通SQLServer；数据库开发;7. 熟练使用visual studio开发环境;我们希望你有——1. 3年以上金蝶K3Cloud BOS、插件开发经验；2. 有开发售前经验；3. 能独立完成项目开发需求设计、实现。（独立完成开发项目）；4. 能熟练使用金蝶api接口，能给客户培训接口使用。你将享受到的福利——1. 月薪、补贴、项目奖、季度奖、年终奖，应有尽有；2. 实行每周五天工作制，拒绝下班高峰期；3. 按政府规定购买社会保险和住房公积金，所有员工均缴综合医保；4. 满一年五天带薪年休假，并随工龄不断增加；5. 每年至少一次公司旅游；6. 每月组织内部活动（西冲、南澳、大梅沙，烧烤、唱K、捉螃蟹等）；7. 生日贺礼、节日礼金、生育贺礼等各种礼金；8. 年！庆！大！抽！奖！",金众诚是金蝶集团授权的核心渠道合作伙伴，自成立以来，运用自身技术专业优势，以管理信息化产品服务为核心，为超过3000家企业和政府组织提供金蝶管理软件产品和服务；金众诚一直坚持以专业诚信为立身之本，为企业提供多维度的信息化咨询服务、整合一切资源提供切实可行的信息化解决方案；公司发展至今，连续获得金蝶集团评选的全国优秀渠道合作伙伴。建立了专业的方案解决中心、7*24小时的售后保障坐席、资深的专家VIP服务体系，旨在为客户提供全生命周期的企业信息化服务。,https://www.zhipin.com/gongsi/4ad4bcaaa88f4cae1nx40tq5EQ~~.html,https://www.zhipin.com/job_detail/c71927877bc1b25b1XJ83N-0GVNU.html,2024-05-15 00:54:02,"[['面向对象设计', '设计模式', '面向对象开发', '.NET框架', '.NET控件', 'B/S架构', '三层架构', 'ASP.NET', 'ADO.NET', 'WCF', 'Web Services', 'AJAX', 'C#', 'JavaScript', 'SQL语句', '存储过程', '触发器', 'SQLServer', '数据库开发', 'Visual Studio'], ['金蝶K3Cloud BOS', '插件开发', '售前经验', '项目开发需求设计', '项目实现', '金蝶API接口', '客户培训']]"
财务软件工程师,深圳南山区早安商务中心A座702,大专,1-3年,,8-11K,计算机软件,,20-99人,,招聘中,全职,"财务软件工程师任职要求：1、本科以上学历，计算机、财务、金融等相关专业；2、了解财务运作、 资金报表、合并报表、经营分析业务逻辑；3、了解后台运行逻辑,有3年以上财务模块开发经验；4、具有良好的沟通交流能力、需求分解能力和较强的抗压能力；5、熟悉c#，良好的编码和文档习惯，注重代码风格，熟悉各种设计模式和原则，能持续的关注和优化自己做的项目",,https://www.zhipin.com/gongsi/ef9c469ab066af6333J43du7Eg~~.html,https://www.zhipin.com/job_detail/0d27e744cc1f0ccd1Xx62NS-EFtS.html,2024-05-14 23:48:47,"[['计算机', '财务', '金融', '财务运作', '资金报表', '合并报表', '经营分析业务逻辑', '后台运行逻辑', '财务模块开发', '沟通交流能力', '需求分解能力', '抗压能力', 'c#', '编码', '文档', '代码风格', '设计模式', '原则']]"
C#/net,广州南沙区香港科技大学(广州)广州市南沙区笃学路1号香港科技大学（广州）行政楼西侧5,本科,5-10年,,12-16K,计算机软件,,10000人以上,已上市,招聘中,全职,岗位职责：1. 负责项目方案具体项目模块的开发与维护2. 按照项目计划、按时提交高质量代码、完成开发任务、 解决项目实施过程中出现的技术问题 职位要求：1.全日制本科以上学历，5年以上.NET开发工作经验，计算机相关专业优先；2.熟悉Visual Studio/VS Code等IDE环境及相关源代码管理工具；3.具备丰富的.Net Framework /.Net Core、 C#、 ASP.NET、 Restful以及数据库开发经验；4.熟悉web前端开发技术：HTML5、 Ajax、JavaScript、jQuery、CSS、 EasyUI、 HighCharts、 ECharts、 WebSocket等；5.熟悉敏捷开发，具备良好的编码风格和面向对象的编程思想；9.有过航空业务系统开发经验的优先,软通动力信息技术（集团）股份有限公司（以下简称“软通动力”）是中国领先的软件与信息技术服务商，致力于成为具有全球影响力的数字技术服务领导企业，企业数字化转型可信赖合作伙伴。2005年，公司成立于北京，立足中国，服务全球市场。目前，在全球40余个城市设有近百个分支机构和超过20个全球交付中心，员工90000余人。秉承用数字技术提升客户价值的使命，软通动力长期提供软件与数字技术服务和数字化运营服务，其中软件与数字技术服务包括咨询与解决方案、数字技术服务和通用技术服务；凭借深厚的行业积累，公司在10余个重要行业服务超过1000家国内外客户，其中超过200家客户为世界500强或中国500强企业。软通动力注重创新和可持续发展。公司已建设30个能力中心，拥有1个国家级工程实验室，5个省市政府认定的工程、技术实验室及研发中心，1个博士后科研工作站，50+技术合作伙伴的生态合作体系，利用多种形式鼓励研发创新，不断探索前沿技术的巨大商业应用潜力。软通动力依托自身的教育平台，开展校企合作、协同育人，为公司长期发展培养人才。软通动力雇主价值主是张信赖 奋斗与我们一同攀升信赖 是软通动力为客户创造价值和雇主与员工间彼此成就的纽带奋斗 是软通人铸就品质与创新精神、恪守持续学习准则、秉持包容开放心态、坚定价值创造信念的基石与我们一同攀升 是无数来自于不同岗位、不同业务乃至不同地域的软通人对从事的职业、专注的事业、拥有的理念而自豪的信标,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html,https://www.zhipin.com/job_detail/c7d107f9c701fc211HV-2d25E1BY.html,2024-05-14 23:13:03,"[['.NET Framework', '.NET Core', 'C#', 'ASP.NET', 'Restful', '数据库开发'], ['HTML5', 'Ajax', 'JavaScript', 'jQuery', 'CSS', 'EasyUI', 'HighCharts', 'ECharts', 'WebSocket']]"
软件开发工程师,广州番禺区广州道晨模具配件有限公司广州市番禺区沙湾镇福涌村沙渡公路15号之二,本科,3-5年,,12-16K,原材料及加工/模具,,100-499人,不需要融资,招聘中,全职,"职位描述1、计算机专业，4年以上相关工作经验，能熟练使用C#/.NET进行windows平台软件开发及WEB应用程序开发；精通后端与CS架构2、了解ASP.NET、JavaScript、HTML、CSS、XML及AJAX等Web开发技术;3、熟悉SQL语言，熟练掌握SQL Server等关系数据库，至少具备使用一种常用数据库的能力（SQL SERVER、mysql、Oracle、DB2等）；4、熟悉 C/S，B/S构架，可以配置IIS,Apach等服务。5、具备串口通信、TCP/UDP，及多线程编程者优先。6、良好的逻辑思维能力、理解能力，团队协作意识，较强的自我提升意识。工作要求：软件开发：参与软件系统的设计、开发、调试等过程，解决工程中的关键问题和技术难题",广州道晨智能制造有限公司筹备于2003年，公司位于广州市番禺区。专注于汽车零部件生产、智能智动化温控岛设备等的研发、生产和销售。目前公司有中高级工程师和曾在著名汽车压铸企业任职的高级技术人员多名。我司长期与相关技术院校合作并开发申请多项国家专利，为客户提供高品质高标准的产品。道晨系列产品不仅服务于国内各大汽车(丰田、本田、特斯拉、比亚迪、日产、大众等）企业，并且出口欧美、日本等。 公司目前拥有五轴加工中心4台、5轴车削中心3台、三轴加工中心22台、沙迪克慢走丝6台、米尔迪克电火花8台、德国数控磨床、德国刀具仪、美国雷顿三次元、智能机械人工作组等高端加工与检测设备。 公司以提升中国压铸工艺与压铸模具行业技术水平和创新为宗旨，打造国内外汽车零部件与智能化设备一流的科技公司,https://www.zhipin.com/gongsi/22fca18b6ab6a60e1nZ839i_GVQ~.html,https://www.zhipin.com/job_detail/497edb32245b253b1nN53N6-GFZW.html,2024-05-14 23:13:26,"[['C#', '.NET', 'Windows平台软件开发', 'WEB应用程序开发', '后端', 'CS架构', 'ASP.NET', 'JavaScript', 'HTML', 'CSS', 'XML', 'AJAX', 'SQL', 'SQL Server', '数据库', 'C/S', 'B/S构架', 'IIS', 'Apache', '串口通信', 'TCP/UDP', '多线程编程']]"
