,Normalized Job Title,Job Titles
352,平台后端高级,['平台后端高级工程师']
353,年薪50万聘大数据技术讲师,['年薪50万+聘大数据技术讲师']
354,广告大数据平台研发,['广告大数据平台研发工程师']
355,广告平台后端,['广告平台后端工程师']
356,广告投放和分发平台全栈,['广告投放和分发平台全栈工程师']
357,建模,['建模开发工程师']
358,影视动画 tdpython,['影视动画 TD（python开发）']
359,急招 net 反馈块 会vue,['急招 net 反馈块 会VUE']
360,急招python,['急招Python开发工程师']
361,技术,['技术工程师']
362,技术专家高级 数据湖内核,['技术专家/高级工程师 - 数据湖内核']
363,技术合伙人,['技术合伙人']
364,拼多多大数据实时计算平台研发,['拼多多大数据实时计算平台研发工程师']
365,推荐系统,['推荐系统开发工程师']
366,推荐系统java,['推荐系统Java开发工程师' '推荐系统开发工程师Java']
367,推荐系统java研发,['推荐系统java研发工程师']
368,数仓,['数仓工程师']
369,数据,['数据开发']
370,数据中台高级后端,['数据中台高级后端开发工程师']
371,数据产品,['数据产品开发工程师']
372,数据处理,['数据处理' '数据处理工程师']
373,数据处理及算法,['数据处理及算法工程师']
374,数据处理实习生,['数据处理实习生']
375,数据处理师,['数据处理师']
376,数据平台,['数据平台开发工程师']
377,数据平台安全方向,['数据平台开发工程师（安全方向）']
378,数据平台实时计算方向,['数据平台开发工程师（实时计算方向）']
379,数据挖掘,['数据挖掘']
380,数据治理基金稳定,['数据治理（基金+稳定）']
381,数据研发专家,['数据研发/专家']
382,数据组长,['数据开发组长']
383,服务端pythona58727,['服务端开发工程师(python)(A58727)']
384,机器视觉,['机器视觉工程师']
385,材料凝聚态物理,['材料软件/凝聚态物理开发工程师']
386,架构师,['软件架构师' '架构师']
387,流计算,['流计算开发']
388,湖仓一体服务技术专家,['湖仓一体服务技术专家']
389,爬虫,['爬虫开发工程师']
390,爬虫实习生,['爬虫实习生']
391,爬虫实习研发,['爬虫实习研发工程师']
392,留学生,['软件开发工程师（留学生）']
393,研发,['研发工程师' '软件研发工程师']
394,研发 反爬方向,['研发工程师 - 反爬方向']
395,研发pythonc,['研发工程师（Python、C++）']
396,研发实习,['研发工程师（实习）']
397,科研助理岗,['科研助理岗']
398,策略组合管理 mj000765,['策略组合管理开发工程师 (MJ000765)']
399,算法,['算法工程师']
400,系统,['系统开发工程师']
401,经理,['软件经理']
402,编程老师,['编程老师']
403,网站程序员网页技术员,['网站程序员网页开发技术员']
404,网络安全,['网络安全开发工程师']
405,网络技术专员,['网络技术专员']
406,腾讯云大数据,['腾讯云大数据开发']
407,腾讯云网络后台,['腾讯云网络后台开发']
408,腾讯云高级大数据研发,['腾讯云高级大数据研发工程师']
409,虚拟化技术专家,['虚拟化技术专家']
410,虚拟化研发,['虚拟化研发工程师']
411,表格存储hbasehdfs 研发,['表格存储(HBase/HDFS) 研发工程师']
412,计算引擎研发,['计算引擎研发']
413,计算引擎高级,['计算引擎高级开发工程师']
